No.,Time,Source,Destination,Protocol,Length,Info,Class
1005,12.07025,Local,Google,TCP,54,ACK,browsing
1007,12.070349,Local,Google,TCP,54,ACK,browsing
1009,12.075487,Local,Static,TCP,54,ACK,browsing
1011,12.07558,Local,Static,TCP,54,ACK,browsing
1013,12.075631,Local,Static,TCP,54,ACK,browsing
1015,12.075898,Local,Static,TCP,54,ACK,browsing
1017,12.07606,Local,Static,TCP,54,ACK,browsing
1019,12.076559,Local,Static,TCP,54,ACK,browsing
1021,12.076718,Local,Static,TCP,54,ACK,browsing
1023,12.076865,Static,Local,TCP,60,ACK,browsing
1026,12.077249,Static,Local,TCP,60,ACK,browsing
1027,12.077249,Static,Local,TCP,60,ACK,browsing
1029,12.077361,Local,Static,TCP,54,ACK,browsing
1031,12.077605,Local,Static,TCP,54,ACK,browsing
1033,12.077776,Local,Static,TCP,54,ACK,browsing
